Total_Stops,Price,journey_month,journey_day,dep_hour,dep_mins,arr_hour,arr_mins,dur_hours,dur_minutes,dur_total,air_Air India,air_Business Class Flights,air_GoAir,air_IndiGo,air_Jet Airways,air_Multiple carriers,air_Premium Economy flights,air_SpiceJet,air_Vistara,src_Chennai,src_Delhi,src_Kolkata,src_Mumbai,dest_Cochin,dest_Delhi,dest_Hyderabad,dest_Kolkata,dest_New Delhi
0,3897,3,24,22,20,1,10,2,50,170,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,7662,5,1,5,50,13,15,7,25,445,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2,13882,6,9,9,25,4,25,19,0,1140,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
1,6218,5,12,18,5,23,30,5,25,325,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,13302,3,1,16,50,21,35,4,45,285,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,3873,6,24,9,0,11,25,2,25,145,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
1,11087,3,12,18,55,10,25,15,30,930,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1,22270,3,1,8,0,5,5,21,5,1265,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1,11087,3,12,8,55,10,25,25,30,1530,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1,8625,5,27,11,25,19,15,7,50,470,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
1,8907,6,1,9,45,23,0,13,15,795,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
0,4174,4,18,20,20,22,55,2,35,155,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,4667,6,24,11,40,13,55,2,15,135,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1,9663,5,9,21,10,9,20,12,10,730,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
0,4804,4,24,17,15,19,50,2,35,155,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2,14011,3,3,16,40,19,15,26,35,1595,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1,5830,4,15,8,45,13,15,4,30,270,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
1,10262,6,12,14,0,12,35,22,35,1355,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
2,13381,6,12,20,15,19,15,23,0,1380,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1,12898,5,27,16,0,12,35,20,35,1235,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
1,19495,3,6,14,10,19,20,5,10,310,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1,6955,3,21,22,0,13,20,15,20,920,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,3943,4,3,4,0,6,50,2,50,170,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,4823,5,1,18,55,21,50,2,55,175,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,7757,5,6,18,55,8,15,13,20,800,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
2,13292,6,9,21,25,12,35,15,10,910,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
1,8238,6,1,21,50,3,35,5,45,345,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1,7682,5,15,7,0,12,55,5,55,355,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
0,4668,6,18,9,45,12,35,2,50,170,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
0,3687,6,15,7,5,9,20,2,15,135,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
0,3687,6,18,7,5,9,20,2,15,135,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
2,13227,5,1,9,50,23,15,13,25,805,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,4423,4,6,4,0,6,50,2,50,170,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2,10919,6,15,14,35,12,35,22,0,1320,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
1,12373,5,18,7,5,12,35,5,30,330,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
1,5894,6,27,10,35,21,0,10,25,625,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1,4649,5,21,15,5,20,20,5,15,315,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
0,6245,5,18,14,15,16,45,2,30,150,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
